"Reference","Title","Obligation","Requirement","Rationale","Informative Note","Compliance Note","Filters","Complete"
"FF-40101","[General Specification Policy] Approved Versions of the FHIR Standard","Mandatory","<div>FHIR Specifications&#160;and FHIR Solutions&#160;SHALL&#160;be based on the following versions of the HL7 FHIR standard&#58;&#160;</div><div><ul><li><a href=""https&#58;//hl7.org/fhir/R4/"">4.0.1 — HL7 Fast Healthcare Interoperability Resources, Release 4 (R4)</a>&#160;</li></ul></div><div>
</div>","<div>HL7 FHIR R4 (4.0.1) — an HL7 International&#160;<a href=""https&#58;//confluence.hl7.org/spaces/HL7/pages/19136726/HL7+Balloting#HL7Balloting-BallotLevels"">Mixed Normative and Standard for Trial Use (STU)</a>&#160;—&#160;is the most widely adopted version of FHIR globally and in Australia.&#160;&#160;<p>Further,&#160;the NCTS is based on FHIR R4 and&#160;the HL7 Australia AU Base FHIR IG as well as all the&#160;FHIR&#160;IGs developed under the Sparked program are based on FHIR R4. Informative notes</p></div><div><p>HL7&#160;<a href=""http&#58;//hl7.org/fhir/R5/"">FHIR R5</a>&#160;(5.0.0) — an HL7 International&#160;<a href=""https&#58;//confluence.hl7.org/spaces/HL7/pages/19136726/HL7+Balloting#HL7Balloting-BallotLevels"">Standard for Trial Use (STU)</a>&#160;—&#160;is currently the official version of&#160;FHIR.&#160;</p></div><div>HL7 FHIR R6 is currently under development and may be&#160;released in 2026.&#160;</div><div>
</div>",,,"[""Implementation Guide"",""FHIR"",""Version""]","Yes"
"FF-40102","[General Specification Policy] FHIR Specifications","Mandatory","<div>FHIR Specifications <b>SHALL</b> be developed and published as FHIR Implementation Guides.&#160;
</div>","<div>FHIR implementation guides are the standard mechanism for documenting FHIR Solutions – including their supported resource profiles, interactions, capabilities, and system behaviour.&#160;
</div>","<div>A FHIR implementation guide (IG) is a set of rules concerning how the FHIR standard (including FHIR resource types and the RESTful API) are used to provide a solution for a particular problem including associated documentation to support and clarify the usage.&#160;
</div>","<br>","[""Implementation Guide"",""FHIR""]","Yes"
"FF-40103","[General Specification Policy] Development and publication of FHIR Specifications as FHIR IG","Mandatory","<div>FHIR Specifications&#160;SHALL&#160;be developed and published as a FHIR Implementation Guide (FHIR IG) using the&#160;HL7 International&#160;FHIR IG Publisher.&#160;
</div>","<div>The HL7 International FHIR Implementation Guide Publisher (IG Publisher) is a widely used and trusted tool for developing and publishing FHIR Implementation Guides. Additionally, it performs complex validation of content in specifications leading to better quality and fewer technical errors in publication. Finally, given the broad adoption of IG Publisher-developed FHIR IGs in Australia and globally, FHIR implementers have become very adept at reading FHIR IGs produced using the IG Publisher.&#160;
</div>","<div>The <a href=""https&#58;//confluence.hl7.org/spaces/FHIR/pages/35718627/IG+Publisher+Documentation"">HL7 International Implementation Guide Publisher</a> is an open-source Java application that processes the source code for a FHIR Implementation Guide and processes it to produce a published FHIR IG. The IG Publisher’s source code is available from GitHub in the <a href=""https&#58;//github.com/HL7/fhir-ig-publisher"">HL7/fhir-ig-publisher</a> repository.&#160;
</div>",,"[""Implementation Guide"",""FHIR""]","Yes"
"FF-40104","[General Specification Policy] Approved dependencies ","Mandatory","<div>FHIR Specifications&#160;<b>SHALL</b>&#160;only reference&#160;approved&#160;dependencies&#160;from the&#160;Agency&#160;FHIR Registry&#160;(AFR).&#160;
</div>","<div>Dependencies&#160;(including terminology artefacts, FHIR artefacts or base standards)&#160;should only be used&#160;if they have been assessed&#160;as suitable for use in Agency specifications.&#160;&#160;
</div>","<div>The&#160;Agency&#160;FHIR Registry&#160;(AFR) is a published list of approved FHIR specifications and artefacts (both internally and externally developed) for use by the Agency.&#160;The&#160;AFR&#160;is&#160;maintained&#160;by the&#160;FHIR Framework Group&#160;(FFG).&#160;&#160;For more details, see&#160;<a href=""/sites/FoundationFHIRFramework/SitePages/FHIR%20Registry.aspx"">FHIR Registry</a>.&#160;</div>",,"[""Implementation Guide"",""FHIR"",""Dependency""]","Yes"
"FF-40105","[General Specification Policy] Experimental dependencies ","Mandatory","<div>If&#160;FHIR&#160;specifications&#160;has any dependency on experimental artefact, then the specification&#160;<b>SHALL</b>&#160;explicitly provide narrative explaining the experimental artefact.&#160;
</div>","<div>Experimental dependencies (including terminology artefacts, FHIR&#160;extensions) should only be used if they have been assessed as suitable for use in Agency specifications&#160;and the implementers must&#160;be made aware of this.&#160;&#160;
</div>",,,"[""Implementation Guide"",""Dependency""]","Yes"
"FF-40106","[General Specification Policy] Inclusion in FHIR Package Registry ","Mandatory","<div>FHIR Implementation Guides (FHIR IGs) SHALL be packaged as FHIR NPM Packages and <b>SHALL </b>be published to the HL7 International FHIR Package Registry.</div>","<div>It is standard practice for publicly accessible FHIR Implementation Guides to be packaged as a <a href=""https&#58;//hl7.org/fhir/packages.html"">FHIR NPM Package</a> and uploaded to the <a href=""https&#58;//registry.fhir.org/"">FHIR Package Registry</a>.&#160;
</div>","<div>A FHIR Package is a collection of FHIR Resources (like a directory with a JSON file-per-resource). FHIR package management is based on the Node Package Manager (NPM) standard. The FHIR Package standard is currently a subset of the NPM standard.&#160;</div><div>The FHIR Package Registry allows implementers to search through the thousands of resources created by the community and provides quick access to reference, download, and install.&#160;</div><div>
</div>","<div>Whilst this requirement cannot be undertaken on assessment of the FHIR Specification itself (because it needs to pass assessment before it can be published), it is expected to be a follow-on action from a successful assessment of a submitted FHIR Specification, where the submitting team notify the FFG when the corresponding FHIR NPM Package has been added to the registry which the FFG can confirm.&#160;
</div>","[""Implementation Guide"",""FHIR"",""Registry""]","Yes"
"FF-40107","[General Specification Policy] Inclusion in FHIR Implementation Guide Registry ","Mandatory","<div>FHIR Implementation Guides (FHIR IGs) <b>SHALL</b> be published to the HL7 International FHIR Implementation Guide Registry.&#160;
</div>","<div>It is standard practice for publicly accessible FHIR Implementation Guides to be added to the Framework's&#160;<a href=""https&#58;//www.fhir.org/guides/registry/"">Implementation Guide Registry</a>.&#160;
</div>","<div>The FHIR Implementation Guide Registry provides a consolidated list of implementation guides defined by the FHIR community.&#160;
</div>","<div>Whilst this requirement cannot be undertaken on assessment of the FHIR Specification itself (because it needs to pass assessment before it can be published), it is expected to be a follow-on action from a successful assessment of a submitted FHIR Specification, where the submitting team notify the FFG when the corresponding FHIR IG has been added to the Implementation Guide Registry which the FFG can confirm.&#160;
</div>","[""Implementation Guide"",""FHIR"",""Registry""]","Yes"
"FF-40108","[General Specification Policy] Publication of terminology artefacts in the National Clinical Terminology Service ","Mandatory","<div>Terminology artefacts (including <i>CodeSystem</i>, <i>ValueSet</i>, and <i>ConceptMap</i> FHIR resource instances) <b>SHALL</b> be published through the National Clinical Terminology Service (NCTS) and made discoverable through the HL7 International Terminology Ecosystem.&#160;
</div>","<div>Publication in the <a href=""https&#58;//www.healthterminologies.gov.au/"">NCTS</a> allows these resources to be easily discovered (via the NCTS Website), distributed (via the NCTS National Syndication Service) and made available through the HL7 International Terminology Ecosystem.&#160;
</div>","<div>The NCTS is a national digital health service provided by the Australian Digital Health Agency to facilitate the effective use adoption of clinical terminology content products like SNOMED CT-AU.&#160;
</div>",,"[""Implementation Guide"",""FHIR"",""Terminology""]","Yes"
"FF-40201","[FHIR Resource Conformance] Resource Canonical Base ","Mandatory","FHIR&#160;conformance&#160;resources&#160;defined in&#160;a&#160;FHIR Specification<b>&#160;SHALL</b>&#160;use&#160;a canonical&#160;base&#160;URI&#160;structured in the following format&#58;&#160;</div><div class=""ExternalClass217975BBE775418FAEEC7606CCA6F794""><p><a>http&#58;//digitalhealth.gov.au/fhir/[ig-acronym]/</a>&#160;</p></div><div class=""ExternalClass217975BBE775418FAEEC7606CCA6F794""><div>Where&#58;&#160;</div><div><ul><li>[ig-acronym]&#160;is the acronym&#160;of&#160;the&#160;specific&#160;Implementation Guide.&#160;&#160;</li></ul></div><div class=""ExternalClassBE37EAC2EE2E41C784E2348B556F0E31""><div>
</div></div>","<div>The canonical base is used when populating the <i>url </i>value of resources as per resource-specific policy requirements. &#160;
</div>",,,"[""Resource"",""Convention"",""Canonical""]","Yes"
"FF-40202","[FHIR Resource Conformance] Resource Name ","Mandatory","<div></div></div><div>The&#160;<i>name&#160;</i>data element&#160;of the resource&#160;<b>SHALL</b>&#160;have a short and descriptive value and only be composed of a combination of&#58;&#160;</div><div><ul><li>upper and lower-case alphabetic characters; and&#160;</li><li>numeric characters; and&#160;</li><li>underscore (‘_’)&#160;to separate words&#160;</li></ul></div><div></div><div class=""ExternalClass4F1753AA10BD400395E89061B63F9D03""><div>
</div>","<div>The use of underscores (‘_’) in the ‘name’ element enables efficient computer processing during IG generation and provides better readability.&#160;
</div>","<div>The FHIR standard allows this value to have a maximum of 254 characters.&#160;
</div>",,"[""Resource"",""Convention""]","Yes"
